metric,reference,code,d_min,delta_pp
R-work,PHENIX,2ZON,1.696004,-0.37
R-work,PHENIX,4DOV,1.696091,-1.26
R-work,PHENIX,2RH3,1.697875,0.04
R-work,PHENIX,1PXZ,1.698273,-0.77
R-work,PHENIX,3EFY,1.698319,-1.04
R-work,PHENIX,5T0K,1.698405,-0.62
R-work,PHENIX,1WDV,1.6986,-0.37
R-work,PHENIX,6IIW,1.698696,-0.22
R-work,PHENIX,2PN0,1.699004,-0.61
R-work,PHENIX,1BXE,1.699449,-1.78
R-work,PHENIX,3ADO,1.699452,-0.53
R-work,PHENIX,3VFO,1.699943,0.8
R-work,PHENIX,2CCH,1.699979,-3.69
R-work,PHENIX,4JHN,1.700004,-0.72
R-work,PHENIX,3D1M,1.700011,-0.66
R-work,PHENIX,3QNM,1.700013,-0.39
R-work,PHENIX,2FTX,1.700024,-1.98
R-work,PHENIX,6RSN,1.700026,-1.0
R-work,PHENIX,5B5Q,1.700037,-0.05
R-work,PHENIX,4OX3,1.700041,-0.4
R-work,PHENIX,2R6R,1.700069,-0.53
R-work,PHENIX,4CLF,1.700099,-1.41
R-work,PHENIX,3U2A,1.700111,-1.07
R-work,PHENIX,2FEX,1.700716,-0.19
R-work,PHENIX,2V62,1.700954,-0.61
R-work,PHENIX,1QD9,1.701401,2.19
R-work,PHENIX,6O6N,1.701629,-0.87
R-work,PHENIX,3PFY,1.702065,-2.16
R-work,PHENIX,2PY2,1.703674,-0.61
R-work,PHENIX,1GHW,1.70689,-0.68
R-work,PHENIX,5UXG,1.720241,-0.42
R-work,PHENIX,3GMV,1.747812,7.11
R-work,PHENIX,4N39,1.748001,-3.06
R-work,PHENIX,1J8B,1.748015,-1.55
R-work,PHENIX,2W3X,1.748764,-1.22
R-work,PHENIX,3WNV,1.750002,-0.68
R-work,PHENIX,4RQM,1.750004,-1.44
R-work,PHENIX,1GQ8,1.750021,-0.78
R-work,PHENIX,2F1F,1.75003,-1.87
R-work,PHENIX,2X26,1.750044,1.06
R-work,PHENIX,3DJD,1.750215,-0.53
R-work,PHENIX,1XX1,1.750353,-0.5
R-work,PHENIX,3VST,1.750499,-0.85
R-work,PHENIX,4QN8,1.750647,-0.38
R-work,PHENIX,3IVB,1.751139,-4.13
R-work,PHENIX,4LZ2,1.760154,-0.7
R-work,PHENIX,4PV4,1.764006,-0.27
R-work,PHENIX,5VIA,1.764029,-0.36
R-work,PHENIX,4HUJ,1.766539,-0.61
R-work,PHENIX,6TCT,1.767038,-0.55
R-work,PHENIX,1O4V,1.77002,-0.93
R-work,PHENIX,3IUG,1.770029,-0.94
R-work,PHENIX,2DX6,1.778863,0.62
R-work,PHENIX,4XLG,1.780034,-1.14
R-work,PHENIX,4O62,1.780107,-0.83
R-work,PHENIX,5XG9,1.782638,-0.39
R-work,PHENIX,1T3I,1.789405,-0.34
R-work,PHENIX,2OO2,1.794654,-0.67
R-work,PHENIX,1J53,1.794693,0.55
R-work,PHENIX,2DRY,1.795981,-0.19
R-work,PHENIX,1RHC,1.797877,-0.73
R-work,PHENIX,5WWW,1.79795,-1.09
R-work,PHENIX,2QH9,1.798456,-0.82
R-work,PHENIX,3VPB,1.798493,-0.65
R-work,PHENIX,4RK2,1.798967,0.58
R-work,PHENIX,3EUS,1.799012,-0.79
R-work,PHENIX,3RQ4,1.799024,-0.96
R-work,PHENIX,6GXS,1.799947,-0.32
R-work,PHENIX,4F0F,1.799957,-1.22
R-work,PHENIX,2YFA,1.799994,-0.05
R-work,PHENIX,1J5W,1.800001,-0.37
R-work,PHENIX,2PAV,1.800001,-0.63
R-work,PHENIX,2XVS,1.800005,0.19
R-work,PHENIX,4ZSF,1.800006,0.02
R-work,PHENIX,4QKO,1.800006,-0.08
R-work,PHENIX,2CCM,1.800007,-0.42
R-work,PHENIX,3KGR,1.800008,-0.28
R-work,PHENIX,3GLR,1.800012,-2.41
R-work,PHENIX,1TGS,1.800015,-0.86
R-work,PHENIX,3U1D,1.800016,-0.74
R-work,PHENIX,3BCI,1.80002,-0.88
R-work,PHENIX,2VEF,1.80002,-0.42
R-work,PHENIX,1RJD,1.800033,-0.71
R-work,PHENIX,2G9W,1.800051,-0.35
R-work,PHENIX,2P38,1.800052,-1.02
R-work,PHENIX,4DA2,1.800057,-0.55
R-work,PHENIX,5HRJ,1.800059,-0.55
R-work,PHENIX,3G6L,1.800069,-0.04
R-work,PHENIX,6CW5,1.800076,-0.38
R-work,PHENIX,3LS0,1.800145,-0.3
R-work,PHENIX,5T1G,1.800145,-1.42
R-work,PHENIX,1UVQ,1.801435,-1.97
R-work,PHENIX,6UB7,1.801869,-1.07
R-work,PHENIX,2EO4,1.801961,-1.32
R-work,PHENIX,3M91,1.802052,-0.57
R-work,PHENIX,2ZUL,1.802856,-0.64
R-work,PHENIX,3SOL,1.804158,-0.42
R-work,PHENIX,2QOS,1.805731,-0.67
R-work,PHENIX,5OF9,1.806897,-0.53
R-work,PHENIX,7D86,1.838036,-1.27
R-work,PHENIX,7FHR,1.839707,-0.39
R-work,PHENIX,4CH9,1.839999,-1.34
R-work,PHENIX,3G85,1.843307,-0.53
R-work,PHENIX,2PJS,1.847826,-0.5
R-work,PHENIX,5XMZ,1.848046,-0.95
R-work,PHENIX,5XVW,1.848861,-0.39
R-work,PHENIX,2F2E,1.84898,-0.23
R-work,PHENIX,3NJE,1.8497,-1.62
R-work,PHENIX,3ATQ,1.849899,-0.59
R-work,PHENIX,5G23,1.850003,-0.88
R-work,PHENIX,4PRA,1.850003,-2.5
R-work,PHENIX,3H7O,1.850005,-0.6
R-work,PHENIX,3VFP,1.850008,6.78
R-work,PHENIX,3L2H,1.850012,-0.2
R-work,PHENIX,2X1C,1.850018,-0.6
R-work,PHENIX,5ZOO,1.850035,0.41
R-work,PHENIX,5TTA,1.850061,-0.75
R-work,PHENIX,1BX0,1.850417,-0.68
R-work,PHENIX,2QM7,1.854048,-0.88
R-work,PHENIX,4UYI,1.860002,-0.97
R-work,PHENIX,1RJ1,1.870259,-1.29
R-work,PHENIX,5Z6V,1.874019,0.02
R-work,PHENIX,6PUP,1.879211,-1.02
R-work,PHENIX,2IVF,1.880068,-0.55
R-work,PHENIX,1DLM,1.883898,0.24
R-work,PHENIX,1QB5,1.885664,-0.66
R-work,PHENIX,4OFF,1.888218,3.0
R-work,PHENIX,6COK,1.888497,-0.59
R-work,PHENIX,5Q1D,1.890014,-2.81
R-work,PHENIX,2VUN,1.894204,-0.63
R-work,PHENIX,5T0M,1.896471,-0.34
R-work,PHENIX,1GUI,1.897215,-0.73
R-work,PHENIX,1YMQ,1.898398,-0.98
R-work,PHENIX,3OAP,1.898491,-0.9
R-work,PHENIX,1RKG,1.898545,-0.93
R-work,PHENIX,5G09,1.899067,-0.63
R-work,PHENIX,1K6D,1.899683,-0.92
R-work,PHENIX,1H8V,1.899692,0.26
R-work,PHENIX,1U1I,1.899912,1.03
R-work,PHENIX,4QTP,1.899915,-0.12
R-work,PHENIX,2JFN,1.899918,-0.94
R-work,PHENIX,1B9K,1.899949,-0.09
R-work,PHENIX,3UTN,1.899974,-0.42
R-work,PHENIX,6EWJ,1.899985,0.05
R-work,PHENIX,3B8I,1.900003,-0.72
R-work,PHENIX,1FKM,1.900003,-0.36
R-work,PHENIX,2JH3,1.900003,0.22
R-work,PHENIX,5XHW,1.900006,-0.82
R-work,PHENIX,3VRJ,1.900007,0.35
R-work,PHENIX,4AUP,1.900007,-0.62
R-work,PHENIX,2P0U,1.900009,-0.33
R-work,PHENIX,5O6B,1.90001,0.76
R-work,PHENIX,4UDP,1.900018,0.16
R-work,PHENIX,2QE9,1.900029,-0.58
R-work,PHENIX,3E99,1.900033,-0.05
R-work,PHENIX,2BON,1.900037,-1.05
R-work,PHENIX,3QKL,1.900058,-2.55
R-work,PHENIX,2RCC,1.90006,-0.21
R-work,PHENIX,4QH8,1.900114,0.46
R-work,PHENIX,1P4X,1.900143,0.89
R-work,PHENIX,5MXY,1.900308,0.79
R-work,PHENIX,1UJK,1.900332,-1.0
R-work,PHENIX,3E7P,1.900468,-1.11
R-work,PHENIX,4IDI,1.900478,-0.15
R-work,PHENIX,5GKV,1.900732,-0.6
R-work,PHENIX,3TCO,1.900841,-0.78
R-work,PHENIX,6D2V,1.900905,-0.42
R-work,PHENIX,5Y9I,1.901023,-0.26
R-work,PHENIX,1QZN,1.901173,-0.35
R-work,PHENIX,5X6S,1.901258,0.03
R-work,PHENIX,3KOL,1.901453,-0.53
R-work,PHENIX,4OF8,1.902004,-0.41
R-work,PHENIX,1HN0,1.904553,-0.45
R-work,PHENIX,2GT1,1.905254,-0.94
R-work,PHENIX,4F27,1.916559,-3.0
R-work,PHENIX,3IHU,1.920022,0.53
R-work,PHENIX,6IQJ,1.921816,0.62
R-work,PHENIX,3N9U,1.924023,-0.59
R-work,PHENIX,5MLK,1.93858,-1.73
R-work,PHENIX,4AOM,1.93859,1.22
R-work,PHENIX,6PNP,1.940062,-2.41
R-work,PHENIX,5BV6,1.941065,2.93
R-work,PHENIX,3U9L,1.941693,-0.25
R-work,PHENIX,1K7T,1.941838,-0.56
R-work,PHENIX,5OMB,1.944037,0.76
R-work,PHENIX,6GBS,1.945634,-0.27
R-work,PHENIX,4ICH,1.947004,-0.54
R-work,PHENIX,6A0E,1.947093,0.03
R-work,PHENIX,6LKG,1.947851,-0.29
R-work,PHENIX,3H6R,1.947933,-0.34
R-work,PHENIX,6PEU,1.948002,3.32
R-work,PHENIX,3W8W,1.949993,-0.92
R-work,PHENIX,6GP7,1.950004,-1.05
R-work,PHENIX,1SOT,1.950005,-0.43
R-work,PHENIX,3OEC,1.950032,-0.28
R-work,PHENIX,4AK1,1.950036,0.06
R-work,PHENIX,3WW1,1.950042,0.22
R-work,PHENIX,1WW9,1.95006,-0.84
R-work,PHENIX,2IUC,1.95006,0.24
R-work,PHENIX,4Q63,1.950143,-0.54
R-work,PHENIX,3HTV,1.950279,-1.46
R-work,PHENIX,3MYU,1.950503,-0.29
R-work,PHENIX,1FIO,1.951112,-1.05
R-work,PHENIX,2WDZ,1.951136,-0.06
R-work,PHENIX,4HIA,1.952271,0.73
R-work,PHENIX,3GQU,1.957053,-0.52
R-work,PHENIX,6FOK,1.970004,-1.11
R-work,PHENIX,3N5L,1.970034,-0.11
R-work,PHENIX,6J17,1.97503,-0.47
R-work,PHENIX,6VS7,1.9795,5.03
R-work,PHENIX,7AUI,1.980036,-0.95
R-work,PHENIX,3GXQ,1.98004,-0.28
R-work,PHENIX,2F9I,1.981854,-0.61
R-work,PHENIX,1DQ8,1.982997,0.91
R-work,PHENIX,1APX,1.991004,1.14
R-work,PHENIX,2XN4,1.992976,7.74
R-work,PHENIX,5EGE,1.993747,0.29
R-work,PHENIX,3KZP,1.996583,-0.4
R-work,PHENIX,2AE0,1.996942,-0.88
R-work,PHENIX,6J72,1.998964,0.77
R-work,PHENIX,1Z05,1.998994,-1.77
R-work,PHENIX,2OO3,1.999022,-0.15
R-work,PHENIX,1ITK,1.999863,-0.49
R-work,PHENIX,3VSM,1.999962,0.44
R-work,PHENIX,1OE4,1.999997,-0.32
R-work,PHENIX,3CGG,1.999997,0.03
R-work,PHENIX,4KH9,2.0,0.2
R-work,PHENIX,4MAA,2.000001,-0.34
R-work,PHENIX,4ZV9,2.000003,0.09
R-work,PHENIX,6ZUW,2.000003,-1.6
R-work,PHENIX,3QTA,2.000004,-0.35
R-work,PHENIX,4FYU,2.000007,0.79
R-work,PHENIX,5WB4,2.000012,0.53
R-work,PHENIX,6CGO,2.000017,1.01
R-work,PHENIX,7CWW,2.00003,-2.11
R-work,PHENIX,4FE9,2.00003,-0.17
R-work,PHENIX,3ZIE,2.000031,-0.05
R-work,PHENIX,2DOB,2.000038,8.47
R-work,PHENIX,2CKL,2.000038,0.78
R-work,PHENIX,3GM5,2.000038,0.56
R-work,PHENIX,3ML3,2.00005,-1.85
R-work,PHENIX,2YEU,2.000063,0.59
R-work,PHENIX,3RAZ,2.00007,-0.54
R-work,PHENIX,3FKK,2.000075,0.0
R-work,PHENIX,1ZEJ,2.000079,6.37
R-work,PHENIX,5MLZ,2.000085,-1.61
R-work,PHENIX,1BM7,2.000117,-0.71
R-work,PHENIX,1TE5,2.000175,0.27
R-work,PHENIX,2GA1,2.000214,2.86
R-work,PHENIX,3CU3,2.000309,7.19
R-work,PHENIX,1CSM,2.001227,0.35
R-work,PHENIX,2P8J,2.00142,-0.09
R-work,PHENIX,2CZV,2.001442,-0.1
R-work,PHENIX,6V7M,2.001712,1.78
R-work,PHENIX,1RFX,2.002449,-1.75
R-work,PHENIX,5J4A,2.004131,-0.06
R-work,PHENIX,5Z8L,2.005004,-9.28
R-work,PHENIX,3BJ6,2.00586,1.03
R-work,PHENIX,1XVS,2.009778,0.55
R-work,PHENIX,5C8H,2.011852,-0.67
R-work,PHENIX,1J3P,2.020038,-0.23
R-work,PHENIX,1A0F,2.024354,-0.56
R-work,PHENIX,4UDA,2.030116,-1.34
R-work,PHENIX,1IDQ,2.03438,-0.49
R-work,PHENIX,2JAC,2.035985,-0.41
R-work,PHENIX,3DXI,2.041435,0.69
R-work,PHENIX,7C7E,2.046512,0.76
R-work,PHENIX,3CB5,2.048835,0.45
R-work,PHENIX,5TV7,2.050017,-0.62
R-work,PHENIX,4MG5,2.05003,-2.77
R-work,PHENIX,4BVE,2.050067,-0.2
R-work,PHENIX,3LLI,2.050071,-0.39
R-work,PHENIX,1DAW,2.050077,0.35
R-work,PHENIX,4C6R,2.050088,-0.08
R-work,PHENIX,3VUQ,2.05028,0.77
R-work,PHENIX,3GR5,2.050552,-0.31
R-work,PHENIX,2QL3,2.052287,-0.09
R-work,PHENIX,3BNK,2.054219,-0.22
R-work,PHENIX,3OOQ,2.059855,0.19
R-work,PHENIX,1C3F,2.068051,-0.01
R-work,PHENIX,3VD8,2.068452,-0.8
R-work,PHENIX,2Z1D,2.070496,-0.23
R-work,PHENIX,6TWJ,2.072443,0.09
R-work,PHENIX,3AMH,2.082708,-0.26
R-work,PHENIX,3VHL,2.084851,1.16
R-work,PHENIX,6EYS,2.090855,0.94
R-work,PHENIX,2XDO,2.091002,0.7
R-work,PHENIX,1DQ3,2.091197,0.26
R-work,PHENIX,1VR4,2.094001,0.71
R-work,PHENIX,3G3O,2.097846,-0.41
R-work,PHENIX,5V8W,2.097882,0.65
R-work,PHENIX,4N5X,2.098813,3.39
R-work,PHENIX,3C7J,2.099008,2.22
R-work,PHENIX,3WTQ,2.099768,-1.83
R-work,PHENIX,2B2N,2.099889,-1.07
R-work,PHENIX,1VK0,2.099998,0.34
R-work,PHENIX,4MG6,2.100001,-2.29
R-work,PHENIX,3DEE,2.100003,1.79
R-work,PHENIX,1VCE,2.100006,-0.08
R-work,PHENIX,3KKD,2.100022,0.82
R-work,PHENIX,4C1S,2.100033,0.21
R-work,PHENIX,5JI5,2.100034,0.75
R-work,PHENIX,2WP1,2.100049,-1.14
R-work,PHENIX,4BU1,2.100054,2.96
R-work,PHENIX,2R5F,2.100055,1.57
R-work,PHENIX,2QSV,2.100075,-0.71
R-work,PHENIX,3E8S,2.100117,-1.13
R-work,PHENIX,3ZH9,2.100129,-0.39
R-work,PHENIX,3QVJ,2.100161,0.12
R-work,PHENIX,6DDT,2.100335,0.58
R-work,PHENIX,4NPJ,2.100528,0.92
R-work,PHENIX,3DIW,2.100704,-4.79
R-work,PHENIX,1GYJ,2.101841,1.06
R-work,PHENIX,3JST,2.10196,-0.39
R-work,PHENIX,3L6F,2.102096,-0.47
R-work,PHENIX,2NN4,2.102617,-0.4
R-work,PHENIX,5E15,2.102812,-1.28
R-work,PHENIX,1JAD,2.103641,3.13
R-work,PHENIX,1TVL,2.10377,0.03
R-work,PHENIX,5TDY,2.104842,0.91
R-work,PHENIX,6U2D,2.109546,0.36
R-work,PHENIX,4D51,2.110018,-1.02
R-work,PHENIX,4TWL,2.111227,0.27
R-work,PHENIX,3X0X,2.114062,0.14
R-work,PHENIX,1A46,2.128069,2.88
R-work,PHENIX,2PQN,2.147261,-5.45
R-work,PHENIX,3TVA,2.148162,-0.54
R-work,PHENIX,1I3A,2.14945,1.29
R-work,PHENIX,1OSC,2.150035,-0.51
R-work,PHENIX,1ANU,2.15023,0.44
R-work,PHENIX,6EC7,2.151002,0.23
R-work,PHENIX,2AHR,2.152,0.06
R-work,PHENIX,6DF3,2.153811,-0.44
R-work,PHENIX,4CGB,2.154159,0.75
R-work,PHENIX,5GZI,2.170005,0.54
R-work,PHENIX,2QYA,2.170056,1.12
R-work,PHENIX,2QCO,2.173924,1.74
R-work,PHENIX,2C8X,2.174127,3.04
R-work,PHENIX,4WAL,2.178206,-0.97
R-work,PHENIX,6RR0,2.180004,3.18
R-work,PHENIX,7F9K,2.180016,2.55
R-work,PHENIX,3I38,2.193238,0.04
R-work,PHENIX,3CMQ,2.195898,0.04
R-work,PHENIX,4WWM,2.196848,-0.32
R-work,PHENIX,6ZH1,2.19902,1.05
R-work,PHENIX,1WV8,2.199249,0.56
R-work,PHENIX,5N8R,2.199505,0.47
R-work,PHENIX,1WTY,2.199907,0.9
R-work,PHENIX,6EUS,2.200002,0.22
R-work,PHENIX,3KKE,2.200003,0.13
R-work,PHENIX,4X3E,2.200005,1.87
R-work,PHENIX,2NTX,2.200005,0.19
R-work,PHENIX,6D97,2.200009,0.36
R-work,PHENIX,1EJH,2.20001,0.18
R-work,PHENIX,1VB3,2.200018,0.73
R-work,PHENIX,1YK3,2.20002,0.4
R-work,PHENIX,1VLM,2.200026,1.02
R-work,PHENIX,4G3H,2.200029,0.23
R-work,PHENIX,3W3W,2.200033,0.78
R-work,PHENIX,2IJE,2.200036,0.13
R-work,PHENIX,4JGX,2.200037,0.48
R-work,PHENIX,3NO8,2.200039,-0.1
R-work,PHENIX,2A25,2.200046,-2.43
R-work,PHENIX,5Q1H,2.200047,0.01
R-work,PHENIX,2F8L,2.200051,0.0
R-work,PHENIX,3N74,2.200057,0.66
R-work,PHENIX,3T9O,2.200096,0.9
R-work,PHENIX,1FG3,2.200241,1.46
R-work,PHENIX,3QC1,2.200494,-0.64
R-work,PHENIX,3DJN,2.20057,-0.27
R-work,PHENIX,1N6J,2.201062,-1.24
R-work,PHENIX,3JWH,2.202012,0.75
R-work,PHENIX,3UVO,2.202578,0.14
R-work,PHENIX,6J7Y,2.202589,-0.98
R-work,PHENIX,1ETE,2.203287,1.08
R-work,PHENIX,3V70,2.206465,-0.06
R-work,PHENIX,4UCI,2.210001,4.53
R-work,PHENIX,1Y8Q,2.217328,0.34
R-work,PHENIX,1EJ1,2.21973,1.27
R-work,PHENIX,4EOY,2.222293,0.28
R-work,PHENIX,2EXU,2.225396,1.41
R-work,PHENIX,2FFF,2.225953,0.73
R-work,PHENIX,6FX6,2.228005,0.91
R-work,PHENIX,2Q1Z,2.239024,1.17
R-work,PHENIX,5DRM,2.240542,-0.78
R-work,PHENIX,4Q13,2.241193,2.38
R-work,PHENIX,5DBE,2.246022,2.69
R-work,PHENIX,2XPL,2.248756,1.0
R-work,PHENIX,2P62,2.249991,-1.43
R-work,PHENIX,3HST,2.250001,1.3
R-work,PHENIX,4RHO,2.250007,2.39
R-work,PHENIX,2C90,2.250094,1.97
R-work,PHENIX,1IKN,2.250901,1.0
R-work,PHENIX,5VLB,2.254547,0.61
R-work,PHENIX,3HBC,2.269217,-0.23
R-work,PHENIX,1JN9,2.270042,5.7
R-work,PHENIX,6OHI,2.272001,7.27
R-work,PHENIX,1A7V,2.272762,2.08
R-work,PHENIX,1OC0,2.280005,0.63
R-work,PHENIX,4EWI,2.280053,0.89
R-work,PHENIX,5A0T,2.282618,-2.7
R-work,PHENIX,1WU2,2.283683,0.84
R-work,PHENIX,2I7H,2.288015,-0.06
R-work,PHENIX,4QXA,2.292019,0.08
R-work,PHENIX,6VD8,2.295029,2.68
R-work,PHENIX,3H1T,2.29676,0.88
R-work,PHENIX,1YEM,2.297646,-0.39
R-work,PHENIX,7JI4,2.298366,-1.18
R-work,PHENIX,5TJA,2.299038,0.45
R-work,PHENIX,2B7O,2.299122,-0.5
R-work,PHENIX,1Q15,2.299922,1.53
R-work,PHENIX,4PFS,2.299984,1.79
R-work,PHENIX,6RFT,2.299988,2.22
R-work,PHENIX,4R10,2.299991,-1.65
R-work,PHENIX,6IR8,2.30001,4.49
R-work,PHENIX,1N0L,2.300016,2.19
R-work,PHENIX,1OBR,2.300017,1.69
R-work,PHENIX,5UV4,2.300025,0.21
R-work,PHENIX,1PG3,2.300028,1.42
R-work,PHENIX,1AJ6,2.300033,0.98
R-work,PHENIX,5H5Y,2.300037,0.74
R-work,PHENIX,4PQZ,2.300042,-0.88
R-work,PHENIX,1BIA,2.300049,0.85
R-work,PHENIX,2Y9W,2.300059,0.73
R-work,PHENIX,2D0T,2.300066,0.36
R-work,PHENIX,6JC4,2.300078,0.54
R-work,PHENIX,1AK5,2.300098,-0.76
R-work,PHENIX,5XUK,2.3001,0.06
R-work,PHENIX,2GD9,2.300228,0.97
R-work,PHENIX,2VZB,2.300266,1.35
R-work,PHENIX,6JZA,2.300281,2.98
R-work,PHENIX,2AQ4,2.300425,0.03
R-work,PHENIX,2Z7E,2.300671,3.07
R-work,PHENIX,3PPU,2.301516,0.55
R-work,PHENIX,1RZN,2.301586,0.33
R-work,PHENIX,3HTK,2.30573,-0.51
R-work,PHENIX,2GA9,2.306743,2.21
R-work,PHENIX,3UNG,2.30964,1.05
R-work,PHENIX,2P8Q,2.313724,2.24
R-work,PHENIX,3CQO,2.320756,0.94
R-work,PHENIX,5DAY,2.329002,1.12
R-work,PHENIX,2QKL,2.330042,-0.71
R-work,PHENIX,3T0Q,2.341774,0.75
R-work,PHENIX,6L8E,2.346019,0.17
R-work,PHENIX,5C5V,2.347882,-0.32
R-work,PHENIX,5I47,2.34961,3.28
R-work,PHENIX,3DLA,2.350032,0.51
R-work,PHENIX,3EC1,2.35263,0.95
R-work,PHENIX,3RST,2.366721,0.1
R-work,PHENIX,5TLD,2.373732,0.42
R-work,PHENIX,1QJV,2.377253,1.99
R-work,PHENIX,2P1L,2.391001,-0.52
R-work,PHENIX,6JJW,2.393315,3.53
R-work,PHENIX,2B5E,2.398087,0.77
R-work,PHENIX,2Z1Z,2.398485,0.6
R-work,PHENIX,5UQP,2.398661,1.28
R-work,PHENIX,1E79,2.399897,3.71
R-work,PHENIX,1SO2,2.399966,0.33
R-work,PHENIX,4EX5,2.39998,-0.59
R-work,PHENIX,6CQL,2.400001,1.42
R-work,PHENIX,4ALY,2.400006,0.39
R-work,PHENIX,4FC4,2.400013,0.11
R-work,PHENIX,3IC8,2.400036,2.99
R-work,PHENIX,7KQ0,2.400066,1.43
R-work,PHENIX,1OY5,2.400091,0.45
R-work,PHENIX,6F1S,2.400097,1.52
R-work,PHENIX,2AP2,2.400123,2.9
R-work,PHENIX,3R6B,2.400189,0.89
R-work,PHENIX,3E8V,2.40043,2.24
R-work,PHENIX,2F9Z,2.401122,1.25
R-work,PHENIX,5UZU,2.402722,0.63
R-work,PHENIX,4GMV,2.402827,1.96
R-work,PHENIX,7JN9,2.403713,1.04
R-work,PHENIX,5GOX,2.405085,2.91
R-work,PHENIX,6WT6,2.405941,4.24
R-work,PHENIX,3KXR,2.41383,0.07
R-work,PHENIX,3MB2,2.414079,0.48
R-work,PHENIX,5IYX,2.426943,1.47
R-work,PHENIX,3E98,2.430022,3.18
R-work,PHENIX,3CAX,2.432614,-0.29
R-work,PHENIX,3OFJ,2.434069,4.48
R-work,PHENIX,1JAC,2.438061,1.17
R-work,PHENIX,4PSI,2.450007,0.32
R-work,PHENIX,4FIX,2.450655,1.01
R-work,PHENIX,6VHI,2.45894,0.33
R-work,PHENIX,6K6R,2.470881,0.58
R-work,PHENIX,6S2P,2.475763,0.07
R-work,PHENIX,1R3U,2.483102,0.11
